EmpiricialRegret,length_scale,K,method
0.11348278581099343,1,5,epsilon
0.37918881310411745,1,5,ucb
0.028598500690123124,1,5,ts
0.028736830809823304,1,5,epsilon
0.38285840144012473,1,5,ucb
0.1575215801170514,1,5,ts
0.01867512078909191,1,5,epsilon
0.3850247908521609,1,5,ucb
0.23794971911297427,1,5,ts
0.05852399126618998,1,5,epsilon
0.38296972589924233,1,5,ucb
0.11301352431676695,1,5,ts
0.0340946729567768,1,5,epsilon
0.3844853009889743,1,5,ucb
0.23904847016812963,1,5,ts
0.0144730709303557,2,5,epsilon
0.23539696455351106,2,5,ucb
0.07580777964279282,2,5,ts
0.008647490994101939,2,5,epsilon
0.23579874332899983,2,5,ucb
0.07519833597194082,2,5,ts
0.003753473718918654,2,5,epsilon
0.23556261936884829,2,5,ucb
0.1279979369369017,2,5,ts
0.008919751754780799,2,5,epsilon
0.2371778612180618,2,5,ucb
0.1261760004157463,2,5,ts
0.07494508065604018,2,5,epsilon
0.23689705898280353,2,5,ucb
0.0754091098680197,2,5,ts
0.002797692905456284,3,5,epsilon
0.164189118957234,3,5,ucb
0.1077502936682373,3,5,ts
0.0016304815291667085,3,5,epsilon
0.16393320531161754,3,5,ucb
0.10836248948058548,3,5,ts
0.007045472375029625,3,5,epsilon
0.16346191596592602,3,5,ucb
0.0898451282086378,3,5,ts
0.002224206786243987,3,5,epsilon
0.16463388156451067,3,5,ucb
0.05421723536298728,3,5,ts
0.0022234868818058733,3,5,epsilon
0.16427192662891804,3,5,ucb
0.14546403957211054,3,5,ts
0.0008078874173318003,4,5,epsilon
0.12424253082589701,4,5,ucb
0.06867993351168683,4,5,ts
0.0007686800961027096,4,5,epsilon
0.12511789564057132,4,5,ucb
0.06906093831438113,4,5,ts
0.0006141336988069103,4,5,epsilon
0.12486175846293218,4,5,ucb
0.00022979883542713404,4,5,ts
0.0007645385797524294,4,5,epsilon
0.12570584519376832,4,5,ucb
0.04118248875229282,4,5,ts
0.0009599172305007753,4,5,epsilon
0.12492088580747374,4,5,ucb
0.013902894141303275,4,5,ts
0.0009951755865054647,5,5,epsilon
0.09990493959213943,5,5,ucb
0.0556979720713638,5,5,ts
0.000780269161535039,5,5,epsilon
0.10108408785276748,5,5,ucb
0.04456460514017423,5,5,ts
0.00012114900925006227,5,5,epsilon
0.10050233199542448,5,5,ucb
0.02235914940680398,5,5,ts
0.001594188358229801,5,5,epsilon
0.101145324200352,5,5,ucb
0.067418453601156,5,5,ts
0.00043306577841408314,5,5,epsilon
0.10171655047042254,5,5,ucb
0.022309027861269086,5,5,ts
0.0007332962481409774,6,5,epsilon
0.08414567526945635,6,5,ucb
0.046849453306930765,6,5,ts
0.00027667363465289416,6,5,epsilon
0.08408121984737758,6,5,ucb
0.018848240331035306,6,5,ts
0.00043894736674674454,6,5,epsilon
0.08510923296224888,6,5,ucb
0.018597739536068098,6,5,ts
0.0009319574666917755,6,5,epsilon
0.08500417364786414,6,5,ucb
0.009348318875143405,6,5,ts
0.00022483234386617295,6,5,epsilon
0.0844060694929409,6,5,ucb
0.04683691790430492,6,5,ts
