EmpiricialRegret,length_scale,K,method
0.18284875993766522,1,3,epsilon
0.14200426305193806,1,3,ucb
0.16068415660593305,1,3,ts
0.09895280912794752,1,3,epsilon
0.08266660563043586,1,3,ucb
0.12450318871614421,1,3,ts
0.07020220193013328,1,3,epsilon
0.48036515047731004,1,3,ucb
0.08667992195905347,1,3,ts
0.18996373727079088,1,3,epsilon
0.3254739108610454,1,3,ucb
0.12439158104445656,1,3,ts
0.07021575618638058,1,3,epsilon
0.2594082788938717,1,3,ucb
0.3225062698062317,1,3,ts
0.13270133844760626,1,3,epsilon
0.26087077907474965,1,3,ucb
0.05128154382288055,1,3,ts
0.07140241451592592,1,3,epsilon
0.15877036100799233,1,3,ucb
0.08202012624318662,1,3,ts
0.48113964660600367,1,3,epsilon
0.3243991853157897,1,3,ucb
0.39772810330509345,1,3,ts
0.1305801602538743,1,3,epsilon
0.2507958816650967,1,3,ucb
0.12435281231189457,1,3,ts
0.04157258597442536,1,3,epsilon
0.10199816565539534,1,3,ucb
0.39976215279262717,1,3,ts
0.18840103864488716,1,3,epsilon
0.14210901040540283,1,3,ucb
0.1417731539964407,1,3,ts
0.12447017212517021,1,3,epsilon
0.13230153899838487,1,3,ucb
0.07011889917318197,1,3,ts
0.05095603222999188,1,3,epsilon
0.1412591730552884,1,3,ucb
0.2531288375707053,1,3,ts
0.2736389819827218,1,3,epsilon
0.19147907454972335,1,3,ucb
0.08762979460679494,1,3,ts
0.2735808626904542,1,3,epsilon
0.26103891611511165,1,3,ucb
0.04154639225197358,1,3,ts
0.3332351416876397,1,3,epsilon
0.32363846767013227,1,3,ucb
0.252990169921531,1,3,ts
0.3232131311768506,1,3,epsilon
0.253222286247986,1,3,ucb
0.1329509455396965,1,3,ts
0.09801226533252165,1,3,epsilon
0.19019327191306204,1,3,ucb
0.12424966685356909,1,3,ts
0.25835178049792906,1,3,epsilon
0.4773098679555363,1,3,ucb
0.2033106751710047,1,3,ts
0.09979328420203479,1,3,epsilon
0.20406528840306254,1,3,ucb
0.32551352347399753,1,3,ts
0.05172037477312334,1,3,epsilon
0.0830106177233954,1,3,ucb
0.12518486270623444,1,3,ts
0.33397498711416035,1,3,epsilon
0.3999582396256278,1,3,ucb
0.08184527469106259,1,3,ts
0.4012266311438527,1,3,epsilon
0.18719450071466065,1,3,ucb
0.3217272834903187,1,3,ts
0.12422734968620681,1,3,epsilon
0.3994391207149722,1,3,ucb
0.32472549424767544,1,3,ts
0.09854263392104037,1,3,epsilon
0.399635526028332,1,3,ucb
0.40007234980592427,1,3,ts
0.04098400580767276,1,3,epsilon
0.26031536666676497,1,3,ucb
0.10226480684976653,1,3,ts
0.2048847082315438,1,3,epsilon
0.20484791587566578,1,3,ucb
0.204219512980023,1,3,ts
0.2730666547039563,1,3,epsilon
0.13280719100103783,1,3,ucb
0.15955369715615814,1,3,ts
0.25945080540325066,1,3,epsilon
0.3997084409185258,1,3,ucb
0.2516533247342465,1,3,ts
0.40304247445053115,1,3,epsilon
0.25183483127593986,1,3,ucb
0.1422293285558605,1,3,ts
0.20164779775266917,1,3,epsilon
0.26029268466862004,1,3,ucb
0.32297235920268097,1,3,ts
0.07159383531157423,1,3,epsilon
0.25248001168026557,1,3,ucb
0.3217438387257187,1,3,ts
0.14206699037532167,1,3,epsilon
0.32246509003668533,1,3,ucb
0.39975317193458854,1,3,ts
0.39998979115404837,1,3,epsilon
0.3991576977519015,1,3,ucb
0.3261106738123061,1,3,ts
0.13096987986864214,1,3,epsilon
0.08725508950234467,1,3,ucb
0.10200271168701763,1,3,ts
0.13020492987458,1,3,epsilon
0.48167694384408877,1,3,ucb
0.1236599500271696,1,3,ts
0.12509809686134693,1,3,epsilon
0.14196923670725128,1,3,ucb
0.20493784144116217,1,3,ts
0.565274325338909,1,3,epsilon
0.32435310368007775,1,3,ucb
0.15966436124974218,1,3,ts
0.32363079878032147,1,3,epsilon
0.12423065054536592,1,3,ucb
0.10153931461850932,1,3,ts
0.05123470150037701,1,3,epsilon
0.2037920762345367,1,3,ucb
0.14201745248824812,1,3,ts
0.02223029985292041,2,3,epsilon
0.007644515044944049,2,3,ucb
0.04268501465474919,2,3,ts
0.022554382675371912,2,3,epsilon
0.1601473451668373,2,3,ucb
0.11962716165459002,2,3,ts
0.007643481929973492,2,3,epsilon
0.202312090350756,2,3,ucb
0.28684747980158654,2,3,ts
0.007735215340911836,2,3,epsilon
0.01566765343934883,2,3,ucb
0.15901698313886578,2,3,ts
0.021837368904128726,2,3,epsilon
0.08173572731113436,2,3,ucb
0.11890862728428003,2,3,ts
0.022316191458142766,2,3,epsilon
0.04522126981492996,2,3,ucb
0.16067632110618685,2,3,ts
0.007466891629625562,2,3,epsilon
0.243670507143411,2,3,ucb
0.11791141023687124,2,3,ts
0.007594523882725196,2,3,epsilon
0.16041635434372065,2,3,ucb
0.08409367416289866,2,3,ts
0.20407908546851075,2,3,epsilon
0.005818531364700785,2,3,ucb
0.24370344849419534,2,3,ts
0.011212936544539717,2,3,epsilon
0.1606600244936599,2,3,ucb
0.20113716290975567,2,3,ts
0.20223441403536527,2,3,epsilon
0.007713372399161466,2,3,ucb
0.24425033553322328,2,3,ts
0.28512844015998184,2,3,epsilon
0.01572432091354078,2,3,ucb
0.11965571635295379,2,3,ts
0.02222740905420655,2,3,epsilon
0.04854717687230987,2,3,ucb
0.12128048021756166,2,3,ts
0.007576599207724512,2,3,epsilon
0.16021174810717667,2,3,ucb
0.08136456678312015,2,3,ts
0.022082053833051885,2,3,epsilon
0.16266974773916304,2,3,ucb
0.08138430388363292,2,3,ts
0.24509190244812573,2,3,epsilon
0.041972862160126495,2,3,ucb
0.08109378526974177,2,3,ts
0.022062877470161942,2,3,epsilon
0.04167642836032449,2,3,ucb
0.20062728432474203,2,3,ts
0.022267839093006205,2,3,epsilon
0.15941356805658408,2,3,ucb
0.08132854725623763,2,3,ts
0.20110554905026348,2,3,epsilon
0.24637314848287192,2,3,ucb
0.0838259270859427,2,3,ts
0.010861723016846172,2,3,epsilon
0.08052144790512482,2,3,ucb
0.11943795063917918,2,3,ts
0.022216152358600208,2,3,epsilon
0.12165506567356131,2,3,ucb
0.2443249114051326,2,3,ts
0.24524403908513145,2,3,epsilon
0.16119793469359353,2,3,ucb
0.15955921240195117,2,3,ts
0.0058956285974024105,2,3,epsilon
0.2872651694819941,2,3,ucb
0.202130023837788,2,3,ts
0.007464618583572962,2,3,epsilon
0.041953778937500234,2,3,ucb
0.08367639842698564,2,3,ts
0.010872887080992093,2,3,epsilon
0.08065706737170919,2,3,ucb
0.04260340796514893,2,3,ts
0.1209901739652044,2,3,epsilon
