EmpiricialRegret,length_scale,K,method
0.37319156102008055,0.5,10,epsilon
0.6507010291856306,0.5,10,ucb
0.594107092114876,0.5,10,ts
0.4410466848570285,0.5,10,epsilon
0.6580795368362108,0.5,10,ucb
0.5414909901260346,0.5,10,ts
0.42839200454258536,0.5,10,epsilon
0.7850285131666925,0.5,10,ucb
0.5021144755227537,0.5,10,ts
0.4763432870357071,0.5,10,epsilon
0.5046986411484464,0.5,10,ucb
0.5417013998083747,0.5,10,ts
0.46156703505656377,0.5,10,epsilon
0.5286494273354285,0.5,10,ucb
0.42160299912067783,0.5,10,ts
0.5019975200675008,0.5,10,epsilon
0.6445997713414646,0.5,10,ucb
0.5984858182163931,0.5,10,ts
0.559650241014723,0.5,10,epsilon
0.48698942468600986,0.5,10,ucb
0.4708952267282798,0.5,10,ts
0.48413245695042256,0.5,10,epsilon
0.708012507092717,0.5,10,ucb
0.5228108793861931,0.5,10,ts
0.5501339032572456,0.5,10,epsilon
0.5836698167225604,0.5,10,ucb
0.44354824105185386,0.5,10,ts
0.480683380632877,0.5,10,epsilon
0.5100985147644321,0.5,10,ucb
0.6474197545987291,0.5,10,ts
0.507069180352146,0.5,10,epsilon
0.5065451678516764,0.5,10,ucb
0.5971724742956541,0.5,10,ts
0.6491739038644313,0.5,10,epsilon
0.5508540158479591,0.5,10,ucb
0.5994771106134483,0.5,10,ts
0.557195315897758,0.5,10,epsilon
0.5818632185581837,0.5,10,ucb
0.4478825391129387,0.5,10,ts
0.5944303874434151,0.5,10,epsilon
0.5785409808108316,0.5,10,ucb
0.5393472370105415,0.5,10,ts
0.5185657296433716,0.5,10,epsilon
0.5169341747390745,0.5,10,ucb
0.5131471016972725,0.5,10,ts
0.5165096314529216,0.5,10,epsilon
0.5226460840243777,0.5,10,ucb
0.6634858913259268,0.5,10,ts
0.5320561964343468,0.5,10,epsilon
0.5466644748569773,0.5,10,ucb
0.42248601553564885,0.5,10,ts
0.5277757905304787,0.5,10,epsilon
0.5317472855265389,0.5,10,ucb
0.5551141424212237,0.5,10,ts
0.4463505856423573,0.5,10,epsilon
0.4903965559847511,0.5,10,ucb
0.6106279024715425,0.5,10,ts
0.43972487431626794,0.5,10,epsilon
0.6415946432743311,0.5,10,ucb
0.6327036316349051,0.5,10,ts
0.5195465008634649,0.5,10,epsilon
0.5578204599555956,0.5,10,ucb
0.488123034313307,0.5,10,ts
0.5611787346678463,0.5,10,epsilon
0.5297728759192063,0.5,10,ucb
0.5906943656327475,0.5,10,ts
0.5274999001581128,0.5,10,epsilon
0.695479872199229,0.5,10,ucb
0.46488347144027387,0.5,10,ts
0.4695291073627573,0.5,10,epsilon
0.5936485632931894,0.5,10,ucb
0.7887016399671821,0.5,10,ts
0.550147992629523,0.5,10,epsilon
0.5692924937472277,0.5,10,ucb
0.587243824826562,0.5,10,ts
0.40462676905667627,0.5,10,epsilon
0.5920230612277715,0.5,10,ucb
0.4820836254232911,0.5,10,ts
0.5124766135850247,0.5,10,epsilon
0.5547930021001028,0.5,10,ucb
0.5986010307955869,0.5,10,ts
0.37807931279952056,0.5,10,epsilon
0.5931466768355345,0.5,10,ucb
0.6392075411446971,0.5,10,ts
0.45353645975816775,0.5,10,epsilon
0.5980628389658931,0.5,10,ucb
0.6954599298730029,0.5,10,ts
0.5844909557342787,0.5,10,epsilon
0.5113205002575594,0.5,10,ucb
0.6982685313719067,0.5,10,ts
0.3066715266254767,1,10,epsilon
0.3770326102052969,1,10,ucb
0.6479007281080337,1,10,ts
0.27585538435464135,1,10,epsilon
0.4210911322747011,1,10,ucb
0.31092858422245384,1,10,ts
0.25968329350277825,1,10,epsilon
0.37225470294840446,1,10,ucb
0.29843241047080743,1,10,ts
0.27636022567553953,1,10,epsilon
0.31235695946855857,1,10,ucb
0.4834747023870409,1,10,ts
0.3738616905288235,1,10,epsilon
0.36010157676814036,1,10,ucb
0.2830487305898691,1,10,ts
0.28635062809254475,1,10,epsilon
0.28974042634229286,1,10,ucb
0.31730246028931297,1,10,ts
0.34920336951644715,1,10,epsilon
0.34057809866407696,1,10,ucb
0.46247260801906065,1,10,ts
0.3170417801625322,1,10,epsilon
0.4031035778045249,1,10,ucb
0.3287120552254043,1,10,ts
0.3602360901169501,1,10,epsilon
0.39027218959828663,1,10,ucb
0.2877320091128452,1,10,ts
0.42735330009769057,1,10,epsilon
0.5671253945365762,1,10,ucb
0.2768064754118792,1,10,ts
0.39666015035413155,1,10,epsilon
0.3437939518165702,1,10,ucb
0.3121040555435012,1,10,ts
0.23486241257866416,1,10,epsilon
0.4697267842351767,1,10,ucb
0.3476823787855558,1,10,ts
0.16338075361974408,1,10,epsilon
0.257056543396053,1,10,ucb
0.4667037721842054,1,10,ts
0.32144181047228065,1,10,epsilon
0.27180639031245524,1,10,ucb
0.4368856615195862,1,10,ts
0.2678534979320053,1,10,epsilon
0.46091397544859763,1,10,ucb
0.4248104274439739,1,10,ts
0.2839032630179987,1,10,epsilon
0.48439043144003574,1,10,ucb
0.3954815547926275,1,10,ts
0.23215132777731018,1,10,epsilon
0.5287390869457713,1,10,ucb
