EmpiricialRegret,length_scale,K,method
0.3302484491941582,1.5,5,epsilon
0.5629860563331652,1.5,5,ucb
0.6255402565493321,1.5,5,ts
0.4305175835084055,1.5,5,epsilon
0.2861243615150466,1.5,5,ucb
0.5029169817190382,1.5,5,ts
0.28722590436880907,2,5,epsilon
0.45803260807605567,2,5,ucb
0.5318962275931304,2,5,ts
0.216348439702172,2,5,epsilon
0.2705141306250448,2,5,ucb
0.8255279056270591,2,5,ts
0.10264778742208092,1.5,10,epsilon
0.2211005307379008,1.5,10,ucb
0.6897807841008194,1.5,10,ts
0.1450696701876024,1.5,10,epsilon
0.2501348762231659,1.5,10,ucb
0.6856598540343508,1.5,10,ts
0.06112263185754975,2,10,epsilon
0.12529408915875775,2,10,ucb
0.3902881821535659,2,10,ts
0.0697228295779578,2,10,epsilon
0.27197542401901725,2,10,ucb
0.4704757922722261,2,10,ts
